name;latin_name;main_food;primary_fur_colour;weight;continent_of_origin;habitat;expectated_age;gestation_period;estimated_population;degree_of_endangering;social_structure;specialities;location_in_Wilhelma
southern Tamandua;Tamandua tetradactyla straminea;insects;yellow;3.5-7kg;south america;tropical forests, coastal forests, savanna;unknown (nine years in zoo);130-180 days;None;not endangered;loner/couple;tonue: 40cm;Historische Gewächshauszeile
two toed sloth;Choloepus didactylus;"leaves; insects; fruits";brown;3.3 - 9kg;south america;treetops of the rain forest;unknown (40 years in zoo);180 days;None;not endangered;loner;slowest mammal;Amazonien
black howler;Alouatta caraya;"leaves; fruits; flowers";black;4.4-6.7kg;south america;Rainforest, riverine gallery forest, seasonal dry forest;None;187 days;None;potential endangered;groups of 5-8 ;males: black, females: blond, howlsong, prehensile ail;Amazonien
green anaconda;eunectes murinus;"mammals; caimans; waterfowls; fish";green-brown;2.5-82.5;south america;"near lakes; rivers; swamps";None;8-9 month;None;not endangered;loner;can swim very well;Amazonien
crocodile;Crocodylus porosus;animals;green;240kg;australasia;"coastal rivers and swamps; partly in open sea; backland";70 years;3 months breeding duration;threatened;not endangered;loner;bigges reptile alive;Aquarium und Terrarium
california sea lion;Zalophus californianus;"fish; squid; seabirds; mussels";brown-grey;up to 400kg;westcoast of america;"Sandy; rocky coast";none;11-12 month;160.000;not endangered;colonies;can dive up to 100 meters and for 15 minutes;Aquarium und Terrarium
common octopus;Octopus vulgaris;"crustaceans; mussels; fish";grey;none;worldwide in the seas of the tropical and temperate zones;Seagrass meadows and rocky grounds up to 100 meters deep;2-3 years;25-65 days breeding time ;none;not endangered;loner;to protect itself from predators, it secretes an oily, dark ink secretion;Aquarium und Terrarium
gepard;acinonyx jubatus;;light_brown;21 – 72 kg;Africa;"open grass and bush savannah - south; west; central Africa";8-15 years;95 days;7500 (2017);endangered;loner;fastest land mammal;AFRICA
Grevy zebra;Equus grevyi;"grass; twigs; tree bark";black and white;350 – 450 kg;Africa;dry savannah;30 years;390 days;2000;strongly endangered;herd animal;largest zebra species;AFRICA
Okapi;Okapia johnstoni;"grass; sprouts";dark brown;200 - 350 kg;Africa;lowland rainforests;15-20 years;14-15 months;10.000 - 50.000;endangered;loner, only in groups during mating time;only discovered at the beginning of the 20th century;AFRICA
Reticulated giraffe;Giraffa camelopardalis reticulata;"leaves; sprouts";dark brown;1200-1900 kg;Africa;deserts and savannahs;25-30 years;14-15 months;None;stable;changing associations, mother-child groups;extremely elongated cervical vertebrae, prehensile tongue;AFRICA
Megabat;Pteropus spec.;"Fruits; pollen; nectar";dark brown;15 gramm - 1.3 kg;Asia, Africa, Australia;tropical forests and swamps;30 years;150 days;None;stable;sociable;crepuscular and nocturnal;INSECTARIUM
Bonobo;Pan paniscus;"Omnivores; but they feed mainly on plants";black;27-61 kg;Kongo;rain forest;40 years;8 months;29.500-50.000;strongly endangered;larger groups live together;Females are the dominant sex. Sex serves to reduce social tensions.;GREAT APE HOUSE
Squirrel monkey;Saimiri boliviensis;"fruits; seed; small animals";light brown;700-900 g;South America;primary and secundary rain forest;30 years;160 days;None;stable;groups of up to 20 animals;None;GREAT APE HOUSE
Java sparrow;Lonchura oryzivora;"grass seeds; rice";gray;25 g;Java;"Cultivated land; sparse forests; plantations";5-10 years;13-14 days;None;stable;sociable;Largest species of finches;MOORISH GARDEN AND MOORISH COUNTRY HOUSE
Bali myna;Leucopsar rothschildi;"fruits; insects; worms";white;90 g;Bali;open tree savannahs;22 years;13-15 days;37;critically endangered;pairs or families;extended spring hood at the back of the head;MOORISH GARDEN AND MOORISH COUNTRY HOUSE
Greek tortoise;Testudo hermanni;"leaves; herbs; fruits; blossoms";brown;950 – 1100 g;"southern europe; turkey";sunny landscape;80 years;90 days;none;potentially endangered;loner;none;AQUARIUM AND TERRARIUM
